CharType,SILIPACharNum,IPAName,IPADesc,IsBaseChar
1,112,Lower case P,Voiceless Bilabial Plosive,Yes
1,098,Lower case B,Voiced Bilabial Plosive,Yes
1,116,Lower case T,Voiceless Alveolar Plosive,Yes
1,100,Lower case D,Voiced Alveolar Plosive,Yes
1,255,Right-tail T,Voiceless Retroflex Plosive,Yes
1,234,Right-tail D,Voiced Retroflex Plosive,Yes
1,099,Lower case C,Voiceless Palatal Plosive,Yes
1,239,Barred Dotless J,Voiced Palatal Plosive,Yes
1,107,Lower case K,Voiceless Velar Plosive,Yes
1,103,Lower case G,Voiced Velar Plosive,Yes
1,113,Lower case Q,Voiceless Uvular Plosive,Yes
1,071,Small Capital G,Voiced Uvular Plosive,Yes
1,063,Glottal Stop,Voiceless Glottal Plosive,Yes
1,109,Lower case M,Voiced Bilabial Nasal,Yes
1,077,Left-tail M (at right),Voiced Labiodental Nasal,Yes
1,110,Lower case N,Voiced Alveolar Nasal,Yes
1,247,Right-tail N,Voiced Retroflex Nasal,Yes
1,248,Left-tail N (at left),Voised Palatal Nasal,Yes
1,078,Eng,Voiced Velar Nasal,Yes
1,178,Small Capital N,Voiced Uvular Nasal,Yes
1,245,Small Capital B,Voiced Bilabial Trill,Yes
1,114,Lower case R,Voiced Alveolar Trill,Yes
1,123,Small Capital R,Voiced Uvular Trill,Yes
1,082,Fish-hook R,Voiced Alveolar Flap,Yes
1,125,Right-tail R,Voices Retroflexed Flap,Yes
1,184,Phi,Voiceless Bilabial Fricative,Yes
1,066,Beta,Voiced Bilabial Fricative,Yes
1,102,Lower case F,Voiceless Labiodental Fricative,Yes
1,118,Lower case V,Voiced Labiodental Fricative,Yes
1,084,Theta,Voiceless Dental Fricative,Yes
1,068,Eth,Voiced Dental Fricative,Yes
1,115,Lower case S,Voiceless Alveolar Fricative,Yes
1,122,Lower case Z,Voiced Alveolar Fricative,Yes
1,083,Esh,Voiceless Postalveolar Fricative,Yes
1,090,Yogh,Voiced Postalveolar Fricative,Yes
1,167,Right-Tail S (at left),Voiced Retroflex Fricative,Yes
1,189,Right-tail Z,Voiced Retroflex Fricative,Yes
1,067,C Cedilla,Voiceless Palatal Fricative,Yes
1,198,Curly-tail J,Voiced Palatal Fricative,Yes
1,120,Lower case X,Voiceless Velar Fricative,Yes
1,196,Gamma,Voiced Velar Fricative,Yes
1,088,Chi,Voiceless Uvular Fricative,Yes
1,210,Inverted Small Capital R,Voiced Uvular Fricative,Yes
1,240,Crossed H,Voiceless Pharyngeal Fricative,Yes
1,192,Reversed Glottal Stop,Voiced Pharyngeal Fricative,Yes
1,104,Lower case H,Voiceless Glottal Fricative,Yes
1,250,Hooktop H,Voiced Glottal Fricative,Yes
1,194,Belted L,Voiceless Alveolar Lateral Fricative,Yes
1,076,L-Yogh Digraph,Voiced Alveolar Lateral Fricative,Yes
1,086,Script V,Voiced Labiodental Approximant,Yes
1,168,Turned R,Voiced Alveolar Approximant,Yes
1,211,Right-tail Turned R,Voiced Retroflex Approximant,Yes
1,106,Lower case J,Voiced Palatal Approximant,Yes
1,229,Long Right-legged Turned M,Voiced Velar Approximant,Yes
1,108,Lower case L,Voiced Alveolar Lateral Approximant,Yes
1,241,Right-tail L,Voiced Retroflex Lateral Approximant,Yes
1,180,Turned Y,Voiced Palatal Lateral Approximant,Yes
1,059,Small Capital L,Voiced Velar Lateral Approximant,Yes
3,135,Bull's Eye,Bilabial Click,Yes
3,150,Pipe,Dental Click,Yes
3,151,Exclamation Point,(Post)alveolar Click,Yes
3,156,Double-barred Pipe,Palatoalveolar Click,Yes
3,132,Double pipe,Alveolar Lateral Click,Yes
3,186,Hooktop B,Voiced Bilabial Implosive,Yes
3,235,Hooktop D,Voiced Dental/Alevolar Implosive,Yes
3,215,Barred Esh,Voiced Palatal Implosive,Yes
3,169,Hooktop G,Voiced Velar Implosive,Yes
3,253,Hooktop Small Capital G,Voiced Uvular Implosive,Yes
3,039,Apostrophe,Ejective,No
4,227,Turned W,Voiceless Labial-velar Fricative,Yes
4,119,Lower case W,Voiced Labial-velar Approximant,Yes
4,231,Turned H,Voiced Labial-palatal Approximant,Yes
4,075,Small Capital H,Voiceless Epiglottal Fricative,Yes
4,185,Barred Reversed Glottal Stop,Voiced Epiglottal Fricative,Yes
4,251,Barred Glottal Stop,Epiglottal Plosive,Yes
4,254,Curly-tail C,Alveolo-palatal Fricative,Yes
4,252,Curly-tail Z,Alveolo-palatal Fricative,Yes
4,228,Turned Long-Legged R,Alveolar Lateral Flap,Yes
4,238,Hooktop Heng,Simultaneous Esh and x,Yes
4,131,Upper Tie-bar,Affricate and double articulation joiner,No
4,233,Lower Tie-bar,Affricate and double articulation joiner,No
2,105,Lower case I,Close Front Unrounded,Yes
2,121,Lower case Y,Close Front Rounded,Yes
2,246,Barred I,Close Central Unrounded,Yes
2,172,Barred U,Close Central Rounded,Yes
2,181,Turned M,Close Back Unrounded,Yes
2,117,Lower case U,Close Back Rounded,Yes
2,073,Small Capital I,Near-close Front Unrounded,Yes
2,089,Small Capital Y,Near-open Front Unrounded,Yes
2,085,Upsilon,Near-close Back Rounded,Yes
2,101,Lower case E,Close-mid Front Unrounded,Yes
2,079,Slashed O,Close-mid Front Rounded,Yes
2,130,Reversed E,Close-mid Unrounded,Yes
2,080,Barred O,Close-mid Central Rounded,Yes
2,070,Ram's Horns (Baby Gamma),Close-mid Back Unrounded,Yes
2,111,Lower case O,Close-mid Back Rounded,Yes
2,171,Schwa,Mid Central Unrounded,Yes
2,069,Epsilon,Open-mid Front Unrounded,Yes
2,191,O-E Digraph,Open Front Rounded,Yes
2,206,Reversed Epsilon,Open-mid Central Unrounded,Yes
2,207,Closed Epsilon,Open-mid Central Rounded,Yes
2,195,Turned V,Open-mid Back Unrounded,Yes
2,141,Open O,Open-mid Back Rounded,Yes
2,081,Ash Digraph,Near-open Fron Unrounded,Yes
2,140,Turned A,Near-open Central Unrounded,Yes
2,097,Lower case A,Open Front Unrounded,Yes
2,175,Small Capital O-E Digraph,Open-mid Front Rounded,Yes
2,065,Script A,Open Back Unrounded,Yes
2,129,Turned Script A,Open Back Rounded,Yes
5,200,Vertical Stroke (Superior),Primary Stress,No
5,199,Vertical Stroke (Inferior),Secondary Stress,No
5,249,Length Mark,Preceding Letter is Long,No
