CharType;SILIPACharNum;IPAChar;IPAName;IPADesc
2;97;a;Lower case A;Open Front Unrounded
2;101;e;Lower case E;Close-mid Front Unrounded
2;105;i;Lower case I;Close Front Unrounded
2;111;o;Lower case O;Close-mid Back Rounded
2;117;u;Lower case U;Rounded Close Back
2;121;y;Lower case Y;Close Front Rounded
2;129;Å;Turned Cursive A;Open Back Rounded
2;130;Ç;Reversed E;Close-mid Unrounded
2;140;å;Turned A;Near-open Central Unrounded
2;141;ç;Open O;Open-mid Back Rounded
2;171;´;Schwa;Mid Central Unrounded
2;172;¨;Barred U;Close Central Rounded
2;174;Æ;(Undotted Barred I);
2;175;Ø;Small Capital O-E Digraph;Open-mid Front Rounded
2;181;µ;Turned M;Close Back Unrounded
2;191;ø;O-E Digraph;Open Front Rounded
2;195;√;Turned V;Open-mid Back Unrounded
2;206;Œ;Reversed Epsilon;Open-mid Central Unrounded
2;207;œ;Closed Epsilon;Open-mid Central Rounded
2;212;‘;Right-hook Schwa;
2;246;ˆ;Barred I;Close Central Unrounded
3;33;!;Double Acute Accent (o-width);Extra high tone
3;35;#;Macron (o-width);
3;36;$;Grave Accent (o-width);Tone low
3;37;%;Double Grave Accent (o-width);Tone extra low
3;38;&;Wedge (o-width);Tone Rising
3;39;';Apostrophe;Ejective
3;40;(;Breve (o-width);Extra-short
3;41;);Superscript Tilde (o-width);Nazalized
3;42;*;Over-ring (o-width);
3;43;+;Subscript Plus (o-width);Advanced
3;44;,;Comma;More Rounded
3;45;-;Subscript Umlaut (o-width);Breathy voiced
3;46;.;Period;Syllable break
3;48;0;Subscript Tilde (o-width);Creaky voiced
3;49;1;Advancing Sign (o-width);Advanced Tongue Root
3;50;2;Retracting Sign (o-width);Retracted Tongue Root
3;51;3;Raising Sign (o-width);Raised
3;52;4;Lowering Sign (o-width);Lowered
3;53;5;Subscript Bridge;Apical
3;54;6;Subscript Square;Laminal
3;55;7;Subscript Left Half-ring;Less Rounded
3;56;8;Under-ring (o-width);Voiceless
3;57;9;Subscript Arch (o-width);Non-syllabic
3;58;:;Superscript L;Lateral Release
3;60;<;Superscript N;Nasal release
3;61;=;Under-bar (o-width);Retracted
3;62;>;Half-length Mark;Half-long
3;64;@;Acute Accent (o-width);High Tone
3;72;H;Superscript H;Aspirated
3;74;J;Superscript J;Palatalized
3;87;W;Superscript W;Labialized
3;94;^;Circumflex (o-width);Tone Falling
3;95;_;Umlaut;Centralized
3;96;`;Syllabicity Mark;Syllabic
3;124;|;Corner;
3;126;~;Over-cross;Mid-centralized
3;128;Ä;Low rise contour tone;Tone low rising
3;131;É;Top Tie Bar;Double articulation
3;133;Ö;Rise fall contour tone;Tone high falling
3;134;Ü;Fall contour tone;Tone falling
3;136;à;Double Acute Accent (high o-width);Extra high tone
3;137;â;Double Acute Accent (high i-width);Extra high tone
3;138;ä;Extra-high Tone Bar;Tone extra high
3;139;ã;Up Arrow;Upstep
3;142;é;Pipe;Minor group
3;143;è;Acute Accent (high o-width);High tone
3;144;ê;Acute Accent (high i-width);High tone
3;145;ë;High Tone Bar;
3;146;í;Double Pipe;Major group
3;147;ì;Macron (high o-width);
3;148;î;Macron (high i-width);
3;149;ï;Mid Tone Bar;Tone mid
3;152;ò;Grave Accent (high o-width);Extra high tone
3;153;ô;Grave Accent (high i-width);Extra high tone
3;154;ö;Low Tone Bar;Tone Low
3;155;õ;Down Arrow;Downstep
3;157;ù;Double Grave Accent (high o-width);Tone extra low
3;158;û;Double Grave Accent (high i-width);Tone extra low
3;159;ü;Extra-low Tone Bar;Tone extra-low
3;161;°;Over Ring (i-width);
3;162;¢;Lowering Sign (i-width);
3;163;£;Raising Sign (i-width);Raised
3;164;§;Subscript Wedge;Voiced
3;165;•;Under Ring (i-width);Voiceless
3;166;¶;Subscript Right Half-ring;More rounded
3;170;™;Retracting Sign (i-width);Retracted Tongue Root
3;173;≠;Under-bar (i-width);Retracted
3;176;∞;Inverted Subscript Bridge;Dental
3;177;±;Subscript Plus (i-width);Advanced
3;179;≥;Superscript Rev. Glottal Stop;Pharyngealized
3;187;ª;Subscript Arch (i-width);Non-syllabic
3;188;º;Subscript Tilde (i-width);Creaky Voiced
3;193;¡;Advancing Sign (i-width);Advanced Tongue Root
3;199;«;Vertical Stroke (Inferior);Secondary stress
3;200;»;Vertical Stroke (Superior);Primary Stress
3;202; ;(Minute Space);Minute space
3;203;À;Subscript Plus (Lowered);Raised
3;204;Ã;Upward Diagonal Arrow;Tone global rise
3;205;Õ;Downward Diagonal Arrow;Tone global fall
3;208;–;Subscript Umlaut (i-width);Breathy voiced
3;209;—;Subscript Seagull;Linguolabial
3;213;’;Right Hook;Rhoticity
3;216;ÿ;High rise contour tone;Tone high rising
3;217;Ÿ;Low fall contour tone;Tone low falling
3;218;⁄;Double Acute Accent (i-width);Extra high tone
3;219;€;Acute Accent (i-width);High tone
3;220;‹;Macron (i-width);
3;221;›;Grave Accent (i-width);Extra high tone
3;222;ﬁ;Double Grave Accent (i-width);Tone extra low
3;223;ﬂ;Circumflex (i-width);Tone extra low
3;224;‡;Wedge (i-width);Tone Rising
3;225;·;Breve (i-width);Extra-short
3;226;‚;Superscript Tilde (i-width);Nasalized
3;230;Ê;Circumflex (high i-width);Tone extra low
3;232;Ë;Rise contour tone;Tone rising
3;233;È;Circumflex (high o-width);Tone extra low
3;236;Ï;Superscript Gamma;Velarized
3;237;Ì;Bottom Tie Bar;No break
3;242;Ú;Superimposed Tilde;
3;243;Û;Wedge (high i-width);Tone extra low
3;244;Ù;Wedge (high o-width);Tone extra low
3;249;˘;Length Mark;Long
4;91;[;Left Square Bracket;
4;92;\;(Back slash);Back slash
4;93;];Right Square Bracket;
